,Title,Brand,Model,Category,Price,Tax/Vat Status,Year,Overall Lengrh,Beam,Draft,Displacement,Location,Country,Insert Date,Engine,Engine Hours,Fuel,Fuel Capacity,Number of Cabins,Number of Berths,Passenger Capacity,Website,Link,Unique Id
0,1993 Cantieri Di Pisa Akhir 25,Cantieri,Di Pisa Akhir 25,Power Boat,470000,Not Given,1993,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1993/cantieri-di-pisa-akhir-25-1986130/,1993251986130
1,1997 Sunseeker Predator 80,Sunseeker,Predator 80,Power Boat,350000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Sardinia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sunseeker-predator-80-2550445/,1997802550445
2,1971 Burger 80,Burger,80,Power Boat,450000,Not Given,1971,Not Given,605.0,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1971/burger-80-3463342/,1971803463342
3,1997 Sunseeker Predator 80,Sunseeker,Predator 80,Power Boat,325000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Sardegna,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sunseeker-predator-80-2972447/,1997802972447
4,2005 Arno Leopard 24,Arno,Leopard 24,Power Boat,499000,Not Given,2005,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2005/arno-leopard-24-3031881/,2005243031881
5,2000 Sanlorenzo Sl82,Sanlorenzo,Sl82,Power Boat,400000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Milano,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/sanlorenzo-sl82-2881527/,2000822881527
6,1997 Sunseeker Predator 80,Sunseeker,Predator 80,Power Boat,350000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Sardegna,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sunseeker-predator-80-3663488/,1997803663488
7,2000 Sanlorenzo 82,Sanlorenzo,82,Power Boat,450000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Olbia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/sanlorenzo-82-3706180/,2000823706180
8,1987 Custom Bugari Artemio 24 Navetta,Custom,Bugari Artemio 24 Navetta,Power Boat,495000,Not Given,1987,Not Given,Not Given,Not Given,Not Given,Lazio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1987/custom-bugari-artemio-24-navetta-3723991/,1987243723991
9,1991 Alalunga 78,Alalunga,78,Power Boat,450000,Not Given,1991,23.75,5.2,Not Given,Not Given,0,Italy,1/1/2000,Detroit Die,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1991/alalunga-78-3510258/,1991783510258
10,2002 Tecnomar Velvet 24,Tecnomar,Velvet 24,Power Boat,470000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,Marina,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/tecnomar-velvet-24-3705806/,2002243705806
11,2002 Bertram Gm 76,Bertram,Gm 76,Power Boat,430000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,Sanremo,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/bertram-gm-76-3057245/,2002763057245
12,1994 Maiora 23,Maiora,23,Power Boat,400000,Not Given,1994,Not Given,Not Given,Not Given,Not Given,Campania,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1994/maiora-23-3596787/,1994233596787
13,2000 Riva 72 Splendida,Riva,72 Splendida,Power Boat,390000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Sanremo,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/riva-72-splendida-3465590/,2000723465590
14,1999 Sunseeker 75 Predator,Sunseeker,75 Predator,Power Boat,450000,Not Given,1999,Not Given,Not Given,Not Given,Not Given,PESCARA,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1999/sunseeker-predator-75-3711148/,1999753711148
15,2001 Sunseeker Predator 75,Sunseeker,Predator 75,Power Boat,435000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Sicilia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/sunseeker-predator-75-3725696/,2001753725696
16,2001 Sunseeker Predator 75,Sunseeker,Predator 75,Power Boat,435000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Sicilia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/sunseeker-predator-75-3245521/,2001753245521
17,1998 Diano 80,Diano,80,Power Boat,400000,Not Given,1998,Not Given,Not Given,Not Given,Not Given,Napoli,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1998/diano-80-3249271/,1998803249271
18,2003 Sunseeker Predator 75,Sunseeker,Predator 75,Power Boat,390000,Not Given,2003,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2003/sunseeker-predator-75-3014398/,2003753014398
19,1997 Ferretti Yachts 70,Ferretti,Yachts 70,Power Boat,420000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Toscana,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/ferretti-yachts-70-3012416/,1997703012416
20,1987 Ccyd Yachts 75,Ccyd,Yachts 75,Power Boat,480000,Not Given,1987,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1987/ccyd-yachts-75-3105833/,1987753105833
21,2001 Sunseeker Predator 75,Sunseeker,Predator 75,Power Boat,460000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Campobasso,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/sunseeker-predator-75-3690904/,2001753690904
22,2000 Sunseeker Predator 75,Sunseeker,Predator 75,Power Boat,449000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,South,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/sunseeker-predator-75-3718156/,2000753718156
23,2002 Sunseeker Predator 75,Sunseeker,Predator 75,Power Boat,435000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/sunseeker-predator-75-3091919/,2002753091919
24,2000 Astondoa A 72 Glx,Astondoa,A 72 Glx,Power Boat,389000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Sardegna,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/astondoa-a-72-glx-3719059/,2000723719059
25,1989 Cantieri Di Pisa 22 S,Cantieri,Di Pisa 22 S,Power Boat,325497,Not Given,1989,Not Given,Not Given,Not Given,Not Given,Viarregio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1989/cantieri-di-pisa-22-s-3723958/,1989223723958
26,1938 De Vries Lentsch Gentlemen Displ. Motor Yacht,De,Vries Lentsch Gentlemen Displ. Motor Yacht,Power Boat,375000,Not Given,1938,Not Given,Not Given,Not Given,Not Given,genova,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1938/de-vries-lentsch-gentlemen-displ-motor-yacht-3613797/,19383613797
27,2000 Riva 72 Splendida,Riva,72 Splendida,Power Boat,450000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Milano,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/riva-72-splendida-3506432/,2000723506432
28,1999 Sanlorenzo Sl72,Sanlorenzo,Sl72,Power Boat,500000,Not Given,1999,Not Given,Not Given,Not Given,Not Given,Lignano,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1999/sanlorenzo-sl72-3251975/,1999723251975
29,1999 Mangusta 72,Mangusta,72,Power Boat,450000,Not Given,1999,Not Given,Not Given,Not Given,Not Given,IMPERIA,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1999/mangusta-72-3719262/,1999723719262
30,2003 Guy Couach 2200 Fly,Guy,Couach 2200 Fly,Power Boat,3200003000030,Not Given,2003,Not Given,Not Given,Not Given,Not Given,Mar,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2003/guy-couach-2200-fly-3716046/,200322003716046
31,1995 Sanlorenzo 72,Sanlorenzo,72,Power Boat,399000,Not Given,1995,Not Given,Not Given,Not Given,Not Given,Ligurie,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1995/sanlorenzo-72-3597892/,1995723597892
32,2000 Astondoa A 72 Glx,Astondoa,A 72 Glx,Power Boat,389000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Mar,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/astondoa-a-72-glx-3677169/,2000723677169
33,2004 Rizzardi 73,Rizzardi,73,Power Boat,480000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Napoli,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/rizzardi-73-3493910/,2004733493910
34,2004 Rizzardi 73 Ht,Rizzardi,73 Ht,Power Boat,410000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Grosseto,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/rizzardi-73-ht-3598040/,2004733598040
35,1998 Benetti Sail Division 70 Fly,Benetti,Sail Division 70 Fly,Power Boat,400000,Not Given,1998,Not Given,Not Given,Not Given,Not Given,Liguria,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1998/benetti-sail-division-70-fly-3084912/,1998703084912
36,2002 Azimut 68 Plus,Azimut,68 Plus,Power Boat,465000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,Mar,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/azimut-68-plus-3710982/,2002683710982
37,1999 Mangusta Mangusta 72,Mangusta,Mangusta 72,Power Boat,490000,Not Given,1999,Not Given,Not Given,Not Given,Not Given,Sabbio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1999/mangusta-mangusta-72-3236316/,1999723236316
38,2006 Raffaelli Ontera 70,Raffaelli,Ontera 70,Power Boat,395000,Not Given,2006,Not Given,Not Given,Not Given,Not Given,Sicilia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2006/raffaelli-ontera-70-3711301/,2006703711301
39,1997 Sanlorenzo Sl72,Sanlorenzo,Sl72,Power Boat,400000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Tirreno,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sanlorenzo-sl72-2261943/,1997722261943
40,2000 Ferretti Yachts 720,Ferretti,Yachts 720,Power Boat,5000007000009,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/ferretti-yachts-720-3692640/,20007203692640
41,2004 Fp-Jaguar Jaguar 21 Sport,Fp-Jaguar,Jaguar 21 Sport,Power Boat,500000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Mar,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/fp-jaguar-jaguar-21-sport-3005162/,2004213005162
42,2004 Motor Yacht Fp-Yachts Jaguar 21 Sport,Motor,Yacht Fp-Yachts Jaguar 21 Sport,Power Boat,500000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Grosseto,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/motor-yacht-fp-yachts-jaguar-21-sport-3713424/,2004213713424
43,2009 Maiora 20S,Maiora,20S,Power Boat,400000,Not Given,2009,Not Given,Not Given,Not Given,Not Given,Napoli,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2009/maiora-20s-3687140/,2009203687140
44,2001 Sunseeker Predator 68,Sunseeker,Predator 68,Power Boat,400000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/sunseeker-predator-68-3542584/,2001683542584
45,2005 Ferretti Yachts 680,Ferretti,Yachts 680,Power Boat,430000,Not Given,2005,Not Given,Not Given,Not Given,Not Given,Rome,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2005/ferretti-yachts-680-3559321/,20056803559321
46,2003 Azimut 68 Plus,Azimut,68 Plus,Power Boat,490000,Not Given,2003,Not Given,Not Given,Not Given,Not Given,-,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2003/azimut-68-plus-3682254/,2003683682254
47,2001 Dalla Pieta Dp 68 Fly,Dalla,Pieta Dp 68 Fly,Power Boat,490000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Abruzzo,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/dalla-pieta-dp-68-fly-3724316/,2001683724316
48,2008 Custom Tum Tour Shipyard Custom,Custom,Tum Tour Shipyard Custom,Power Boat,330000,Not Given,2008,Not Given,Not Given,Not Given,Not Given,Puglia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2008/custom-tum-tour-shipyard-custom-3691187/,20083691187
49,2004 Jaguar Jaguar 21 Sport,Jaguar,Jaguar 21 Sport,Power Boat,500000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Tuscany,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/jaguar--jaguar-21-sport--3483338/,2004213483338
50,2004 Azimut 68S,Azimut,68S,Power Boat,440000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Sanremo,Italy,1/1/2000,Not Given,Not Given,Not Given,3200,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/azimut-68s-3708145/,2004683708145
51,2004 Guy Couach 2200,Guy,Couach 2200,Power Boat,469000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Lazio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/guy-couach-2200-3724023/,200422003724023
52,2003 Guy Couach 2200 Fly,Guy,Couach 2200 Fly,Power Boat,380000,Not Given,2003,Not Given,Not Given,Not Given,Not Given,Sanremo,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2003/guy-couach-2200-fly-3524731/,200322003524731
53,2003 Guy Couach 2200 Fly,Guy,Couach 2200 Fly,Power Boat,380000,Not Given,2003,Not Given,Not Given,Not Given,Not Given,Sanremo,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2003/guy-couach-2200-fly-3724866/,200322003724866
54,1996 Maiora 20,Maiora,20,Power Boat,395000,Not Given,1996,Not Given,Not Given,Not Given,Not Given,Thyrrenian,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1996/maiora-20-2056818/,1996202056818
55,2000 Princess 65,Princess,65,Power Boat,350000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Liguria,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/princess-65-3716527/,2000653716527
56,2006 Azzurro 74 S,Azzurro,74 S,Power Boat,500000,Not Given,2006,Not Given,Not Given,Not Given,Not Given,Toscana,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2006/azzurro-74-s-3654488/,2006743654488
57,1997 Alalunga 70,Alalunga,70,Power Boat,395000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/alalunga-70-3141766/,1997703141766
58,1990 Oyster 68,Oyster,68,Power Boat,360000,Not Given,1990,Not Given,Not Given,Not Given,Not Given,fiumicino,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1990/oyster-68-3616215/,1990683616215
59,1994 Italcraft C 70,Italcraft,C 70,Power Boat,330000,Not Given,1994,Not Given,Not Given,Not Given,Not Given,Lazio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1994/italcraft-c-70-3718603/,1994703718603
60,2004 Princess V65,Princess,V65,Power Boat,349000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Nord,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/princess-v65-3724164/,2004653724164
61,2004 Princess V65,Princess,V65,Power Boat,349000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,San,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/princess-v65-3507782/,2004653507782
62,1996 Posillipo Technema 67,Posillipo,Technema 67,Power Boat,380000,Not Given,1996,Not Given,Not Given,Not Given,Not Given,Sabaudia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1996/posillipo-technema-67-3170165/,1996673170165
63,2005 Princess V65,Princess,V65,Power Boat,350000,Not Given,2005,Not Given,Not Given,Not Given,Not Given,Aprilia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2005/princess-v65-3655181/,2005653655181
64,2002 Princess V65,Princess,V65,Power Boat,349000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,LAZIO,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/princess-v65-3614506/,2002653614506
65,2002 Princess V65,Princess,V65,Power Boat,320000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,LAZIO,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/princess-v65-3718634/,2002653718634
66,2002 Princess V 65,Princess,V 65,Power Boat,335000,Not Given,2002,Not Given,Not Given,Not Given,Not Given,Lazio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/princess-princess-v-65-3708177/,2002653708177
67,2005 Azimut 62,Azimut,62,Power Boat,480000,Not Given,2005,Not Given,Not Given,Not Given,Not Given,Montemarcello,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2005/azimut-62-3174416/,2005623174416
68,2001 Pershing 65,Pershing,65,Power Boat,500000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/pershing-65-2663982/,2001652663982
69,2002 Princess V65,Princess,V65,Power Boat,335000,Not Given,2002,Not Given,5.0,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/princess-v65-3150199/,2002653150199
70,2002 Princess V65,Princess,V65,Power Boat,330000,Not Given,2002,Not Given,5.0,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2002/princess-v65-2532500/,2002652532500
71,2004 Sarnico 65,Sarnico,65,Power Boat,425000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Tirreno,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/sarnico-65-3719646/,2004653719646
72,2004 Azimut 62,Azimut,62,Power Boat,440000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/azimut-62-3692647/,2004623692647
73,2001 Pershing 65,Pershing,65,Power Boat,340000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,.,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/pershing-65-2772939/,2001652772939
74,2006 Gianetti 68 Ht,Gianetti,68 Ht,Power Boat,399000,Not Given,2006,Not Given,Not Given,Not Given,Not Given,Miseglia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2006/gianetti-68-ht-3509269/,2006683509269
75,2008 Mochi Craft 64' Dolphin,Mochi,Craft 64' Dolphin,Power Boat,450000,Not Given,2008,Not Given,Not Given,Not Given,Not Given,Tirreno,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2008/mochi-craft-64-dolphin-3716274/,2008643716274
76,2004 Baia Azzurra 63,Baia,Azzurra 63,Power Boat,330000,Not Given,2004,Not Given,5.0,Not Given,Not Given,NAPLES,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/baia-azzurra-63-3604339/,2004633604339
77,2004 Ferretti Yachts 620,Ferretti,Yachts 620,Power Boat,429000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,Ligurian,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/ferretti-yachts-620-3689107/,20046203689107
78,2001 Benetti Sail Division 60 Sd,Benetti,Sail Division 60 Sd,Power Boat,350000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Sardinia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/benetti-sail-division-60-sd-3584204/,2001603584204
79,2001 Benetti Sail Division Benetti 60 Sail Division,Benetti,Sail Division Benetti 60 Sail Division,Power Boat,420000,Not Given,2001,Not Given,Not Given,Not Given,Not Given,Italien,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2001/benetti-sail-division-benetti-60-sail-division-3469308/,2001603469308
80,2003 Vz 18,Vz,18,Power Boat,350000,Not Given,2003,Not Given,525.0,Not Given,Not Given,South,Italy,1/1/2000,Not Given,Not Given,Not Given,3800,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2003/vz-18-2420346/,2003182420346
81,2004 Sarnico 65,Sarnico,65,Power Boat,425000,Not Given,2004,Not Given,Not Given,Not Given,Not Given,SICILIA,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2004/sarnico-65-3719979/,2004653719979
82,1996 Custom Posillipo-Rizzardi Technema 67',Custom,Posillipo-Rizzardi Technema 67',Power Boat,320000,Not Given,1996,Not Given,Not Given,Not Given,Not Given,Liguria,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1996/custom-posillipo-rizzardi-technema-67--3665553/,1996673665553
83,2005 Rizzardi Cr 63 Top Line,Rizzardi,Cr 63 Top Line,Power Boat,360000,Not Given,2005,Not Given,Not Given,Not Given,Not Given,Jesolo,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2005/rizzardi-cr-63-top-line-3722968/,2005633722968
